umap1,umap2,cat
1.6524931,-14.24166,Alkali/Lamprophyres
-1.3190912,-14.636337,Alkali/Lamprophyres
1.5610307,-14.21872,Alkali/Lamprophyres
1.7453865,-14.144416,Alkali/Lamprophyres
-1.3055475,-14.654206,Alkali/Lamprophyres
1.7342879,-14.085367,Alkali/Lamprophyres
1.7909744,-14.006189,Alkali/Lamprophyres
-1.343671,-14.650322,Alkali/Lamprophyres
1.5075231,-14.264473,Alkali/Lamprophyres
1.7310582,-14.170684,Alkali/Lamprophyres
2.104105,-13.792368,Alkali/Lamprophyres
-0.030072778,-13.995663,Alkali/Lamprophyres
0.10920408,-13.842252,Alkali/Lamprophyres
-1.3295041,-15.435065,Alkali/Lamprophyres
0.10942528,-13.814389,Alkali/Lamprophyres
-1.0386889,-14.412938,Alkali/Lamprophyres
0.9589163,-14.604332,Alkali/Lamprophyres
-1.1096369,-14.461529,Alkali/Lamprophyres
0.7836335,-13.859765,Alkali/Lamprophyres
0.7338271,-14.784443,Alkali/Lamprophyres
-1.0902226,-14.3116255,Alkali/Lamprophyres
-0.8207301,-13.798672,Alkali/Lamprophyres
0.23281005,-15.802922,Alkali/Lamprophyres
-0.96507543,-14.206196,Alkali/Lamprophyres
-0.73532647,-14.402268,Alkali/Lamprophyres
0.1410299,-15.891862,Alkali/Lamprophyres
-1.081926,-14.367338,Alkali/Lamprophyres
0.96655947,-14.482348,Alkali/Lamprophyres
-1.3128566,-14.590991,Alkali/Lamprophyres
0.92333966,-14.663079,Alkali/Lamprophyres
-1.2348486,-14.618723,Alkali/Lamprophyres
2.1812243,-13.817046,Alkali/Lamprophyres
0.6326784,-14.236511,Alkali/Lamprophyres
0.5747676,-14.090812,Alkali/Lamprophyres
0.45146218,-14.473566,Alkali/Lamprophyres
0.36412698,-14.393504,Alkali/Lamprophyres
-0.11594594,-14.887381,Alkali/Lamprophyres
0.5192716,-14.158041,Alkali/Lamprophyres
0.47231847,-14.301791,Alkali/Lamprophyres
-2.623684,-15.595442,Alkali/Lamprophyres
-2.4657865,-15.54492,Alkali/Lamprophyres
-2.5422215,-15.5190735,Alkali/Lamprophyres
0.46262196,-13.509626,Alkali/Lamprophyres
0.5853752,-13.7046175,Alkali/Lamprophyres
0.5731528,-13.751495,Alkali/Lamprophyres
0.5845619,-13.881534,Alkali/Lamprophyres
0.82632655,-13.395853,Alkali/Lamprophyres
1.2784896,-13.895221,Alkali/Lamprophyres
1.0607479,-14.43514,Alkali/Lamprophyres
-1.6229022,-15.623593,Alkali/Lamprophyres
0.5171269,-14.89122,Alkali/Lamprophyres
0.04047644,-15.398933,Alkali/Lamprophyres
-1.0419719,-15.568242,Alkali/Lamprophyres
-0.4770883,-15.449346,Alkali/Lamprophyres
0.44538057,-14.905947,Alkali/Lamprophyres
1.5839018,-14.002032,Alkali/Lamprophyres
1.343196,-14.138399,Alkali/Lamprophyres
1.0828458,-13.62986,Alkali/Lamprophyres
1.1166505,-13.563568,Alkali/Lamprophyres
0.67098343,-14.494341,Alkali/Lamprophyres
0.8291463,-13.692821,Alkali/Lamprophyres
0.66965944,-13.516303,Alkali/Lamprophyres
0.4148521,-13.707586,Alkali/Lamprophyres
0.68561333,-13.435342,Alkali/Lamprophyres
0.65846395,-13.462609,Alkali/Lamprophyres
0.7763774,-14.6730995,Alkali/Lamprophyres
-0.42272693,-15.363369,Alkali/Lamprophyres
1.8361989,-14.018012,Alkali/Lamprophyres
0.5941503,-14.826543,Alkali/Lamprophyres
0.8298851,-14.605341,Alkali/Lamprophyres
-1.3108344,-14.69354,Alkali/Lamprophyres
-1.3677403,-14.714488,Alkali/Lamprophyres
1.5279467,-13.948701,Alkali/Lamprophyres
-1.9055582,-16.518723,Alkali/Lamprophyres
0.97594273,-14.38215,Alkali/Lamprophyres
0.91759497,-14.52504,Alkali/Lamprophyres
-0.2635812,-16.197403,Alkali/Lamprophyres
1.3702768,-14.123064,Alkali/Lamprophyres
-1.3888099,-14.671651,Alkali/Lamprophyres
1.2928545,-14.182862,Alkali/Lamprophyres
-1.1234142,-14.493643,Alkali/Lamprophyres
0.5166871,-14.137842,Alkali/Lamprophyres
0.6697079,-14.830864,Alkali/Lamprophyres
-1.2698724,-14.5752,Alkali/Lamprophyres
-1.0514994,-14.388267,Alkali/Lamprophyres
-1.119083,-14.451979,Alkali/Lamprophyres
-1.0762204,-14.522143,Alkali/Lamprophyres
1.018749,-14.553539,Alkali/Lamprophyres
-0.48707882,-14.795476,Alkali/Lamprophyres
1.4140712,-14.343645,Alkali/Lamprophyres
-1.1325314,-14.623379,Alkali/Lamprophyres
-1.1522614,-14.605569,Alkali/Lamprophyres
1.5415058,-14.224987,Alkali/Lamprophyres
1.6166188,-14.178915,Alkali/Lamprophyres
2.1935582,-13.598995,Alkali/Lamprophyres
1.1881003,-13.419784,Alkali/Lamprophyres
0.86801547,-13.3374195,Alkali/Lamprophyres
0.86680853,-13.122956,Alkali/Lamprophyres
1.161067,-14.491441,Alkali/Lamprophyres
2.0343153,-13.7746105,Alkali/Lamprophyres
1.9248109,-13.7920475,Alkali/Lamprophyres
1.8103801,-13.737606,Alkali/Lamprophyres
-2.2451332,-14.868639,Alkali/Lamprophyres
0.056678403,-15.790851,Alkali/Lamprophyres
-2.2554457,-14.858662,Alkali/Lamprophyres
0.556612,-15.204569,Alkali/Lamprophyres
-1.942431,-15.536086,Alkali/Lamprophyres
1.4781502,-14.268554,Alkali/Lamprophyres
-2.6621249,-15.542557,Alkali/Lamprophyres
-2.499161,-15.320124,Alkali/Lamprophyres
1.3506538,-13.901551,Alkali/Lamprophyres
-0.083654605,-16.021141,Alkali/Lamprophyres
-0.112221085,-16.20111,Alkali/Lamprophyres
1.3752421,-13.417833,Alkali/Lamprophyres
1.7554147,-14.149593,Alkali/Lamprophyres
1.7320347,-14.0756445,Alkali/Lamprophyres
1.9185984,-13.999976,Alkali/Lamprophyres
1.8807262,-14.018694,Alkali/Lamprophyres
0.94439745,-14.759746,Alkali/Lamprophyres
1.6432692,-14.14945,Alkali/Lamprophyres
1.4980097,-14.278672,Alkali/Lamprophyres
1.7979575,-13.744137,Alkali/Lamprophyres
2.1995175,-13.696073,Alkali/Lamprophyres
2.0162008,-13.601399,Alkali/Lamprophyres
1.8615602,-13.776756,Alkali/Lamprophyres
-0.9720676,-14.464004,Alkali/Lamprophyres
-0.25918865,-15.359448,Alkali/Lamprophyres
-1.2044104,-15.442628,Alkali/Lamprophyres
0.33671343,-15.653487,Alkali/Lamprophyres
-0.58353966,-15.089507,Alkali/Lamprophyres
0.7399613,-14.942705,Alkali/Lamprophyres
-0.64104587,-14.71894,Alkali/Lamprophyres
1.4087514,-14.367513,Alkali/Lamprophyres
9.387458,4.2069516,Alkali/Lamprophyres
1.9836276,-13.427701,Alkali/Lamprophyres
1.8146938,-14.056745,Alkali/Lamprophyres
1.7911628,-14.072612,Alkali/Lamprophyres
1.6528313,-14.18355,Alkali/Lamprophyres
1.7105638,-14.028128,Alkali/Lamprophyres
1.8916578,-13.6729145,Alkali/Lamprophyres
1.5501542,-14.213341,Alkali/Lamprophyres
1.9492329,-13.717025,Alkali/Lamprophyres
2.0204468,-13.601709,Alkali/Lamprophyres
1.5373113,-14.10053,Alkali/Lamprophyres
1.8738327,-14.042162,Alkali/Lamprophyres
1.536716,-14.327039,Alkali/Lamprophyres
1.7367523,-13.850932,Alkali/Lamprophyres
1.5036051,-13.660989,Alkali/Lamprophyres
1.5848743,-13.730597,Alkali/Lamprophyres
0.8880972,-13.194985,Alkali/Lamprophyres
1.5317796,-14.269726,Alkali/Lamprophyres
-1.2899405,-14.54069,Alkali/Lamprophyres
-1.1737082,-14.489585,Alkali/Lamprophyres
-1.0951519,-14.506009,Alkali/Lamprophyres
-0.25833142,-15.332051,Alkali/Lamprophyres
-1.6061577,-14.491912,Alkali/Lamprophyres
2.1401765,-13.627355,Alkali/Lamprophyres
2.1692412,-13.619317,Alkali/Lamprophyres
2.1939492,-13.333024,Alkali/Lamprophyres
1.461627,-13.344441,Alkali/Lamprophyres
1.2618817,-13.258824,Alkali/Lamprophyres
1.9778057,-13.912713,Alkali/Lamprophyres
2.1692495,-13.594242,Alkali/Lamprophyres
1.3736513,-13.341684,Alkali/Lamprophyres
1.5817313,-13.406537,Alkali/Lamprophyres
2.217728,-13.271256,Alkali/Lamprophyres
-0.7020986,-14.697968,Alkali/Lamprophyres
1.7821599,-14.079124,Alkali/Lamprophyres
2.1962795,-13.705352,Alkali/Lamprophyres
0.9282198,-13.258111,Alkali/Lamprophyres
0.92900294,-13.353017,Alkali/Lamprophyres
1.0159112,-13.293527,Alkali/Lamprophyres
0.9419625,-13.257937,Alkali/Lamprophyres
1.0412776,-13.5843,Alkali/Lamprophyres
1.561089,-13.951461,Alkali/Lamprophyres
1.7978438,-13.681911,Alkali/Lamprophyres
1.8015847,-13.708889,Alkali/Lamprophyres
1.530709,-14.09012,Alkali/Lamprophyres
0.63282716,-14.8229885,Alkali/Lamprophyres
0.6940593,-14.750782,Alkali/Lamprophyres
0.8401387,-14.627466,Alkali/Lamprophyres
0.85092956,-13.165907,Alkali/Lamprophyres
0.8841211,-13.179639,Alkali/Lamprophyres
0.88735396,-13.219352,Alkali/Lamprophyres
0.8290039,-13.166103,Alkali/Lamprophyres
0.88802487,-13.2429905,Alkali/Lamprophyres
