umap1,umap2,cat
2.991566,-1.75441,Alaskan ultramafic
3.003666,-1.7500563,Alaskan ultramafic
3.0065148,-1.762823,Alaskan ultramafic
3.009506,-1.7749138,Alaskan ultramafic
3.01613,-1.7824416,Alaskan ultramafic
2.999498,-1.7591377,Alaskan ultramafic
3.0030582,-1.7683709,Alaskan ultramafic
3.0065236,-1.7690897,Alaskan ultramafic
3.0104997,-1.7619029,Alaskan ultramafic
-0.1559294,13.322251,Alaskan ultramafic
3.0175753,-1.7908809,Alaskan ultramafic
8.353439,4.1466637,Alaskan ultramafic
3.0074487,-1.7688829,Alaskan ultramafic
8.361581,4.1927094,Alaskan ultramafic
3.0031223,-1.7630979,Alaskan ultramafic
8.318703,4.094062,Alaskan ultramafic
8.347478,4.1636696,Alaskan ultramafic
-3.8006046,3.5758116,Alaskan ultramafic
-3.8317432,3.55089,Alaskan ultramafic
8.607677,4.523885,Alaskan ultramafic
8.553768,4.5212193,Alaskan ultramafic
8.47753,4.4953322,Alaskan ultramafic
8.481062,4.4919214,Alaskan ultramafic
8.509285,4.4906964,Alaskan ultramafic
8.56667,4.5218225,Alaskan ultramafic
8.572266,4.520207,Alaskan ultramafic
8.546091,4.479984,Alaskan ultramafic
8.528145,4.5803437,Alaskan ultramafic
8.606707,4.4699125,Alaskan ultramafic
8.588329,4.5745554,Alaskan ultramafic
8.48101,4.418517,Alaskan ultramafic
8.558634,4.4900017,Alaskan ultramafic
8.491385,4.421321,Alaskan ultramafic
8.569994,4.455129,Alaskan ultramafic
8.510433,4.488926,Alaskan ultramafic
8.519611,4.32405,Alaskan ultramafic
8.572638,4.49528,Alaskan ultramafic
8.490415,4.4834313,Alaskan ultramafic
8.574891,4.4717016,Alaskan ultramafic
8.558286,4.5181766,Alaskan ultramafic
8.486422,4.4822865,Alaskan ultramafic
8.488705,4.5452323,Alaskan ultramafic
8.472385,4.5687537,Alaskan ultramafic
8.501823,4.5463734,Alaskan ultramafic
8.493846,4.549997,Alaskan ultramafic
8.463388,4.554807,Alaskan ultramafic
8.486139,4.5646033,Alaskan ultramafic
8.491388,4.417625,Alaskan ultramafic
8.52896,4.3132772,Alaskan ultramafic
8.558011,4.386805,Alaskan ultramafic
8.484514,4.262259,Alaskan ultramafic
8.537129,4.434117,Alaskan ultramafic
8.455595,4.296774,Alaskan ultramafic
8.498408,4.3523784,Alaskan ultramafic
8.484406,4.246933,Alaskan ultramafic
8.6835165,4.5070605,Alaskan ultramafic
8.508159,4.256893,Alaskan ultramafic
8.53496,4.320638,Alaskan ultramafic
8.523832,4.2823186,Alaskan ultramafic
8.520885,4.2148695,Alaskan ultramafic
8.473099,4.20889,Alaskan ultramafic
